name,"rating",review"
Asseng Suroto,"5.0","View nya TOP!!"
Maridasari Purba,"2.0","Tak seperti yg dibayangkan"
Kerrick Story,"5.0","Wajib kesini kalo kepagaralam"
Fadli Lukman,"5.0","Asik tempatnya buat keluarga"
Amrin Madani,"5.0","Asri serta menawan"
Nurfatah,"5.0","Mantap"
swandita adinata,"4.0","Tempat yg indah dan sejuk"
Genthokuto Kuto,"5.0","Sgt menyenangkn....."
Heri Saputra,"5.0","Sangat berkesan"
Riski karuniajaya,"5.0","Pemandangan indah"
bakhtiar rifai (masBah),"4.0","seem jarang dipakai orang"
Anuar Alatas,"4.0","Sangat indah"
Kusnanto,"4.0","Okelah"
Lee Sum Official,"5.0","Pagaralam beauty of south sumatera"
Yudhi Dwi Sahputra,"5.0","Strategis tempatnya"
medy son,"5.0","Sejuk,nyaman"
Tyo Fathir,"5.0","Bagus"
Liza Fitriani,"5.0","Sangat bagus"
afib prayoga,"5.0","nyaman"
Ahyar Bisa,"5.0","Tempat wisata asik di pagaralam"
Nyimas Dinda,"3.0","Lumayan bersih"
Wiro Koyo96,"5.0","Malino nya Palembang"
polarside o,"5.0","Pemandangan bagus"
chetrin pinota,"5.0","pesona alam yang sangat indah"
Cobra Palembang,"5.0","Sejuk.."
Ali Bardadi,"5.0","Villa nya nyaman"
Heri Saputra,"5.0","Mantappp"
Sohar Mawansyah,"5.0","Selamat pagi"
ENDA ARIFIN ZULKARNAIN SIREGAR,"4.0","Asri"
Kemas Wongkito,"5.0","Mantap"
M.Yulisman Musa,"5.0","Mantab"
Eka Rokhmat,"5.0","Tempat yang sejuk"
Paman RombeS,"5.0","Dingin"
Mahmud Ahmadi (Mahmud2.01.0),"5.0","Lumayan 😷👍 …"
Bambang Adiwijaya,"5.0","Tempat yang nyaman"
Media Sohe,"5.0","Keren Bingit"
Bento 1.068,"1.0","telp sulit dihubungi"
Natra Alamsyah,"5.0","Mantul"
VIRGO RIAND,"5.0","Cantik bangetttt"
muhammad syaferi,"5.0","Mantap"
What Snap,"3.0","Lumayan"
Indra Sanjaya,"4.0","Indah dan nyaman"
Mezi Edys,"5.0","Cantik"
Radi El Guitarista,"5.0","Indah, seger"
Rio Ramadhan,"4.0","Keren"
campur campur,"4.0","Nyaman"
dian apriyati,"5.0","Bagus"
widia anriani,"5.0","Menyenangkan"
reza defri,"5.0","Kampung halaman"
Sukandi Kandi,"1.0","Tidak representatif"
Adi priawan,"4.0","Dingin pol"
Ima Puspita,"5.0",""
Ahmad Nahrowi (BabeAWI),"5.0","Tempat wisata"
Aprian Syah,"3.0","Pagar alam"
baron,"4.0","Villa dan hotel di gn Gare"
Ali Alatas,"5.0","GunungGare"
Rony Baron,"3.0","Villa & hotel"
Indi Sirani,"5.0","Tempat wisata"
prayoga mupay,"5.0","Mantap"
Nyimas Alifa Iradatha Yutzi,"5.0","Bagus"
Paraginta Basaria,"4.0","Desa tua namun memiliki pemandangan yang indah dari rumah-rumah. Mereka menyediakan air panas dari shower, air minum dari dispenser, tempat pa …"
Poetra Banyuasin (Ricardo),"5.0","Tempat yang nyaman untuk relaksasi. Dari kamar pasangan hingga vila kecil untuk keluarga, dikelilingi oleh perkebunan teh. Mereka juga melayani sarapan, makan siang, dan makan malam. Lebih baik berkunjung ke sini dengan mobil sendiri, jika Anda ingin menjelajahi kota da …"
Leonardus Selamat,"5.0","Villa di sekitar kebun teh dengan cuaca dingin sangat menyenangkan untuk waktu liburan. Sangat nyaman untuk liburan keluarga atau a …"
Mohammad Irwan Trimulyono,"4.0","-Hotel terbesar di Pagar Alam
#NAME?
#NAME?
-Listri …"
Bang Jamil,"4.0","Tempat yang bagus untuk menginap saat Anda berada di Pagar Alam. Ada dua jenis penginapan, villa dan hotel. Jika anda mengambil villa, tersedia 3.0 kamar dengan double bed dengan harga IDR 1.0.5.000.000/malam/villa. Sedangkan tarif  …"
Dhony Indrasasono,"1.0","Tempatnya oke. Dingin. Akomodasi tidak seperti yang diha …"
achmad Egar,"5.0","Yang kaya nginep disini dijamin puas"
Dikky Mahdani,"4.0","OMG, satu malam 1.0,1.0 Juta Rupiah, saya datang ke sini pada tanggal 6 Juli 2.001.06 dimana ini adalah 1.0 Syawal 1.04.03.07H, Hari Besar Muslim.  …"
Febriana MS,"5.0","Pemandangannya bagus, lebih bagus lagi kalau foto-fotonya didukung agar lebih insta …"
Shandi Syafriadi,"4.0","Memiliki pemandangan gunung yang bagus, rasa makanannya enak .. ditemukan sekitar 5.0 siput besar di kamar mandi saat …"
elis elis,"5.0","Tempat yang ok untuk menyegarkan diri di udara seju …"
Hadi Kusuma,"5.0","Bengkelnya bersih dan ker …"
Dp Uang,"5.0","Suasananya sejuk"
R3.0 Yt,"5.0","Saluran youtube ZTV"
Humas Ikadi,"4.0","Asri, udara segar, dan pegunungan alami"
Johanes Wahyu,"5.0","Tempat yang bagus, panorama yang bagus  …"
Febry Surya Pratama,"4.0","Bersantai, menyegarkan udara, dan begitu banyak manfaat yang And …"
Tri Alfiyaningsih,"5.0","Dingin seka …"
Satria Juniarti,"3.0","Tempat yang bagus tapi hotel perlu r …"
Nedy Apriyadi,"4.0","Muantapppp, bikin capek banget"
Medya Information,"5.0","keren dan bersih..bagus direkom …"
Rahma nurul husni,"5.0","Ada pemandangan alam dan b …"
Atedja Jayalaksana,"4.0","Angin alami dengan pemandangan perkebunan teh y …"
omar syarif,"5.0","Adem. Pemandang …"
Priadi Adji,"4.0","Akomodasi Anda tidak lengkap"
Anggun Juni Prastiti,"5.0","Tn"
Sudirman Dirman,"4.0","Udara pagi teras …"
Daenk Yadi,"4.0","Keren n santai"
Sabit Huraira,"4.0","Bagus, seperti gunung dempo"
Elbert Mh,"4.0","Gunung.. teh.. dingin.. bagu …"
Rizky Eka putra,"5.0","ITU SUMSE …"
Fadilah Endo,"5.0","Ini dingin"
Martin M. Baihaqi,"5.0","Tempat yang ker …"
dieky zulkarnaen,"5.0","Liburan keluarga yang direk …"
Bayu Ega Firmansyah,"5.0","Pemandang …"
Ayu N. Campina,"5.0","Pemandang …"
Andhy Rachmadi,"5.0","Tempat yang bagus membua …"
Basyopi S,"5.0","Dingin nik …"
Ridi Efran Susilo (Pagar Alam),"5.0","Terla …"
Novi Harianto,"5.0","Ok …"
emild lio,"5.0","Luar bias …"
Eka Marwati,"5.0",""
Riani iyak,"5.0",""
Yungcik Manna,"5.0",""
Andri ansyah,"5.0","Seeeerrr bneeeerrrr"
Susilawati,"5.0","DING …"
Kukuh Nur,"5.0","Tempat yang nyaman  …"
Mochammad Wachid,"4.0","Tempat yang bagus n in …"
Rizen Aje,"5.0","Bagu …"
dwi aris,"5.0","Hotel terbaik di k …"
Arie Erwin,"3.0","Graat tempat n view... …"
Abdul Rohman Hafid,"5.0",""
hullerkopipagaralam,"3.0","Selam …"
Lubuk Linggau,"4.0","Tempatnya keren 👍👍👍 …"
D Viyaya,"4.0","Seeeeeeeeeeeeee"
Dini Hendrianto,"5.0","Tentu saj …"
Memen Achbar,"5.0","Bagus untuk libur …"
Siti Barokah (Galeri Barokah),"5.0",""
Susanto Ariwibowo,"5.0","Siiiippppp"
Andre Bilal,"5.0",""
Febri Pepeng,"5.0",""
Ruspan Dani,"5.0",""
beawiharta bea,"5.0","Hotel dengan pemandangan yang …"
Maryadi Adi,"4.0",""
ria valenta,"5.0",""
mawar berduri,"5.0",""
Rico Ricardo,"5.0",""
suci bps,"5.0",""
Murah Meriah,"5.0",""
Muhammad fahmy,"5.0","Pemandang …"
ijul fikri,"5.0","Direkomenda …"
golden goh,"3.0","Menginap yang ny …"
Asri Joni,"5.0","Vila yang  …"
Sugianto pkm,"5.0","Rekomendasi..."
Rosadi Purnama,"5.0","Tempat yang b …"
Lutfy Fauzi,"5.0","Aaaaaaaaaaaaa …"
Hareza Wijaya,"4.0","Ok …"
nana rumana rumana,"5.0","Dingiiiin"
Fuad Ramadhan,"5.0",""
Rumah Ruqyah Syar'iah Obat Hati Tibun Nabawiyyah,"5.0",""
Lola Octalia,"1.0",""
Sukono Adzka1.01.03.04.05.0,"4.0",""
sapto sukmono,"1.0",""
Sylveira,"5.0",""
Deka Delta Lita,"5.0",""
Novi Harianto,"5.0",""
Jarwanto Bkl,"4.0",""
boy heriyanto,"5.0",""
selvia agustina,"4.0",""
Hamonangan Albariansyah,"5.0",""
HARFIA RIZKA,"5.0",""
Len leni,"5.0",""
bondan munggajaya,"4.0",""
Heru Ongsan Ugashie,"4.0",""
Toko Faruq,"5.0",""
Eddie Risma,"4.0",""
ari Oktadiansyah,"5.0",""
yadi rustam,"5.0",""
Lidya Wulansari,"5.0",""
ahmad barnianto,"4.0",""
Saudi Aryanto,"5.0",""
akbarifkie,"4.0",""
Yus Barchia,"5.0",""
Elsa Syafitri,"5.0",""
Ariel Setiawan Pirie,"5.0",""
Suhanto Darman,"5.0",""
JMM Ac,"5.0",""
Jeffri Minton Gultom,"5.0",""
Daniel Ammaf,"4.0",""
Husin As,"2.0",""
Miftah Nurrahmah,"5.0",""
Ahmad Mujib,"3.0",""
H. L Benz Syailendra,"5.0",""
Hany Arda,"5.0",""
Yoga Frabowo,"5.0",""
Ismail Khayla,"5.0",""
Said Prakata,"5.0",""
Afriansyah _,"4.0",""
R2.0Q frz,"4.0",""
Arpita Pitriyanti,"5.0",""
Kholipa Ivenksimanturu,"5.0",""
Meta Adi Putra Soemprong,"3.0",""
jamz sapoetra,"4.0",""
Reval haikal,"2.0",""
Rizky Apriansyah,"5.0",""
Arw Anto,"5.0",""
Depi Sandra Wika,"5.0",""
BRILLIAN FEDRIANSYAH,"5.0",""
Firman Latief,"5.0",""
Arif Prambayun,"5.0",""
Fredi Armando,"5.0",""
Aditya Ariya,"4.0",""
m khoiruzzad2.08,"4.0",""
DiniAndryani Ampika,"5.0",""
Dody Nugraha,"5.0",""
Lapo Siagian Boru Tobing,"5.0",""
Aditya r,"1.0",""
beeyoo 07,"5.0",""
Putri Kurnia,"5.0",""
Yogi Mei Saputra,"2.0",""
Asri Ependi,"4.0",""
Muhammad Apriliansyah,"5.0",""
Rosa Yusria,"4.0",""
Farta Hasibuan,"5.0",""
irwan 92.0,"4.0",""
Muhammad nur Alrifqi,"5.0",""
Toni Mulyaputa,"3.0",""
Rahmat Taufik,"4.0",""
Kiy Sains,"4.0",""
Dimas T. Priatama,"4.0",""
Muhammad Jauhari,"4.0",""
Ekasman Hariyadi,"5.0",""
Simin Pagaralam,"5.0",""
Iwan Suhindar,"3.0",""
Amir Hamzah,"4.0",""
doni budiardana,"5.0",""
Anton Agustian,"5.0",""
Bagus Sugeng Riyadi,"4.0",""
Rudi Marhadi,"5.0",""
Hendy Sastra,"4.0",""
Sarie Hindayanie,"5.0",""
Bernada Yuniar,"5.0",""
Ayiek Ashari,"5.0",""
Dee Kaluna,"5.0",""
Merlin Cristiana,"1.0",""
sapril ilyas,"5.0",""
Musa Rojai,"4.0",""
Sandi Ibrahim,"5.0",""
Dwie Ria,"5.0",""
Suwarno o,"5.0",""
Aulia Khairunisa,"5.0",""
Sugeng S Pariyadi,"5.0",""
Miss Indah,"5.0",""
Dendi Saputra,"5.0",""
Ariel Alasytar,"5.0",""
Herios Paiker,"5.0",""
rio octoriawan,"5.0",""
Perkasa Adiansyah,"3.0",""
Reswan Efiady,"5.0",""
Gusti Purna Herawan,"5.0",""
Oppo F3.0plus,"3.0",""
Tinton Lauda,"5.0",""
Setyarani Eka Putri,"5.0",""
Dedi Mustika,"5.0",""
ROMI HIDAYAT,"4.0",""
g dahana,"5.0",""
Deddy Permana,"4.0",""
Mgs. Arief Azhari,"5.0",""
daniel cenil,"5.0",""
Raden Mas Mukti,"5.0",""
ponirin S,"3.0",""
Mhd Yudha,"5.0",""
Lili Somali,"4.0",""
abdi ansyah,"4.0",""
yanata adi putra,"5.0",""
yanto zaini,"5.0",""
Piters Tanujaya,"4.0",""
dadang linggau,"5.0",""
Silvi Agustiani,"5.0",""
Mdarmawan Mawan,"5.0",""
Harmilian Yan,"5.0",""
Norman Agus,"5.0",""
Marta Martanudin,"1.0",""
bagus wijaya,"3.0",""
Wahyu Aji Santoso,"5.0",""
wityaning sugestiyo,"5.0",""
Muharam Saribi,"4.0",""
Lilis Wahyuni,"5.0",""
Ovi Nirmala,"5.0",""
Nano Marsono,"4.0",""
Arief Kisut,"5.0",""
Andi Lazuardi,"4.0",""
Gorro Home Design,"5.0",""
Reinaldhi Julian,"4.0",""
iProject ID,"3.0",""
Rasyid Pendopo,"5.0",""
mukminin agil,"5.0",""
Murniningsih Irawan,"5.0",""
Segazt Henzt,"5.0",""
Herly Reynaldi,"5.0",""
irwan sadli,"5.0",""
Beta Lorena,"4.0",""
Jhon Petrik,"3.0",""
PapaBear Herlambang,"5.0",""
Indra Riyanto Deza,"5.0",""
Divorian Adwi,"4.0",""
Listyana Oktami,"4.0",""
Marifah J,"5.0",""
Aditya Pratama,"5.0",""
Elvi Darmawan,"1.0",""
Rizki Liantara,"5.0",""
Jerry Simangunsong,"4.0",""
Sjofjan Djailani,"3.0",""
ryri r,"5.0",""
adam adam,"5.0",""
Batosai Takeshi,"1.0",""
Totok Galena,"5.0",""
Sinta Olivia,"5.0",""
Ongki Yushar,"5.0",""
Tukang Seduh Kopi,"5.0",""
Ferdi Herison,"5.0",""
Nabila Noor Amalina,"5.0",""
A Yudi,"4.0",""
M M,"5.0",""
vicky bae,"5.0",""
dianita budiman,"5.0",""
M Edho,"4.0",""
Bayu Putra,"4.0",""
muhammad asri,"5.0",""
Bambang Triyono,"4.0",""
Herisna Mardianti,"4.0",""
Rahmat Subastian,"5.0",""
danu kurniawan,"4.0",""
ADI KURNIADI,"5.0",""
adherizs advkonsmerek,"5.0",""
muhammad ikhsan,"4.0",""
Andre Nop's Anugrah,"5.0",""
Kiyai Achmad (Abang),"5.0",""
Gypta Riusyah,"5.0",""
Kurniawansyah,"5.0",""
PIRDIANSYAH PUTRA,"5.0",""
Ruli Fadli,"5.0",""
RR,"5.0",""
Amanda Hurin,"5.0",""
Ekayanti Ekayanti,"5.0",""
rahadian disa,"3.0",""
Dewa Saputra,"4.0",""
Dainty Ambarina,"5.0",""
Lisa Mardiana,"4.0",""
Sudirman Pga,"1.0",""
E J,"3.0",""
Imam Taufik,"5.0",""
Twins Aksa Aska,"3.0",""
Ibnu Bondan,"3.0",""
Annie Apriyani,"5.0",""
DODDY ISKANDAR ST,"5.0",""
Muhammad Aldi,"5.0",""
abdul aziz zulfikar,"5.0",""
Hendrik Wahyudi,"4.0",""
reyinda vamela,"3.0",""
HEND TJ,"4.0",""
Nelly Hartati,"5.0",""
Risma Imron,"5.0",""
errick edison sitepu,"5.0",""
Keristian,"5.0",""
Titin Solehati,"5.0",""
Kiki Suhendar,"5.0",""
zarda lena,"5.0",""
Iamfunk 87,"1.0",""
Satu Mu,"3.0",""
Eriardi Sugiri,"5.0",""
Selly Selokta,"5.0",""
Reza Roseno,"5.0",""
Rilo Pambudi,"5.0",""
Noviyanti Julian,"4.0",""
Dwi Nur Yunindha,"5.0",""
Iriyanto Spectrum-Jakarta,"4.0",""
Raynandika Permana.Y,"5.0",""
Muhamad Wahyu,"5.0",""
Adji MD,"1.0",""
Teguh Budi Utomo,"5.0",""
Toton Ramli,"4.0",""
えんど,"3.0",""
zahir abdillah,"3.0",""
Idrus Fhadli,"5.0",""
C_3.01.0_Moch. Akbar Abiddiansyah,"5.0",""
Franky Irawan,"1.0",""
Hazril Fazri,"4.0","Bagu …"
Mar Cumi,"5.0",""
HSS Oleh-oleh,"5.0",""
Ririn Bams,"5.0",""
Yanto Azairin Aheyrds,"5.0",""
Ayu Wandira,"5.0",""
anak lanang,"4.0",""
Amirul Karima,"5.0",""
Linda mu,"5.0",""
Ijoel Mawardi,"5.0",""
Nanang Hermawan,"5.0",""
Nyimas Wulandari,"5.0",""
oby,"5.0",""
Alhaffi nurizzan,"1.0",""
Latief Maulana,"5.0",""
Rofiq CN BLUE,"4.0",""
budi santoso,"5.0",""
anggita patra ali,"5.0",""
Edo Dinda Pahlevi,"5.0",""
Nasia Atika,"3.0",""
isauqi tandjung,"5.0",""
M. Husni,"4.0",""
Kasti Ono,"4.0",""
Ratika J. Sari,"5.0",""
tria laga,"4.0",""
Pagaralam Wisata,"5.0",""
franata anggi,"4.0",""
Betty Angriani Betty,"5.0",""
Bayu Perdana Putra,"5.0",""
Rey ap,"2.0",""
Aditya Secuidi,"5.0",""
novy hartati,"5.0",""
dodo skoji,"5.0",""
pranas melati,"5.0",""
Suzie Hery Sandy,"5.0",""
Syarkowi Pabli,"4.0",""
Novi Harianto,"5.0",""
Yudi Umar,"5.0",""
Miftha Indasari,"5.0",""
Reza Pratama,"5.0",""
Median Efrado,"4.0",""
Rezky Anugrah Prasetya (Raprstya),"5.0",""
Cella,"4.0",""
Rikky Maulapriadi,"2.0",""
khairul rahmadan,"5.0",""
muhammad ropiq,"4.0",""
Parijan Aja,"5.0",""
Pg retno,"3.0",""
Naufal Adi,"4.0",""
hefri zeki,"5.0",""
Amrullah Mat Amin,"4.0",""
Ahmad Parta,"1.0",""
Mega Sukma NurSari,"5.0",""
Syahputra Channel,"5.0",""
Dadang Chef,"5.0",""
Riko Akbar,"4.0",""
Nabilah Nabilah,"5.0",""
Hermanto Aja,"5.0",""
BAYU SAPUTRA,"5.0",""
Indra Wijaya,"5.0",""
andreansyah putra,"5.0",""
iqbal ibrahim,"4.0",""
Muhammadfadel Wati,"1.0",""
Ihsan Toha,"5.0",""
eda Imutz,"5.0",""
Mgs Hapib,"4.0",""
Samudra Taufik,"5.0",""
BDP B_Elvina Asri_SMK Muh 2.0 PLG,"5.0",""
Muhammad Samsuri,"5.0",""
Riyan Kantar,"5.0",""
Desert Camel,"5.0",""
Rifqi,"3.0",""
Nadia Nurhasana,"5.0",""
diyan wahyudi,"4.0",""
Bramanto Bramanto,"3.0",""
Tau fik,"4.0",""
Antonio 2.03.0,"4.0",""
mawla,"3.0",""
muhammad abdul syawal,"5.0",""
HSS Oleh-Oleh,"5.0",""
Novitaa Sr,"5.0",""
Tristina Tabi'in,"1.0",""
Zakaria Speed,"5.0",""
Ujang Nopizar,"4.0",""
Reza Aldinata,"5.0",""
Gusti Paradita,"5.0",""
Muhammad Iqbal,"4.0",""
Dika DikDig,"5.0",""
Hendy Aje (Hen),"3.0",""
Muhammad Aziz,"5.0",""
Ari Widodo,"5.0",""
Nolly Noer Amien (NOLLY),"5.0",""
Genius Chatila Sapardi,"5.0",""
wulan mayang,"5.0",""
Indra Saja,"4.0","Ok …"
Naning nink,"1.0",""
Tias Muhammad,"5.0",""
Aku Kamu,"5.0",""
Dinda Anggraini Maysafatma,"5.0",""
PEMPEK PENTOL,"4.0",""
supriyadi yadi,"4.0",""
DENDI AZWARI,"2.0",""
Maliq Siagian,"5.0",""
Rendi Chandra,"5.0",""
Alfi motovlog,"4.0",""
Zahra Nurfadhillah,"5.0",""
RedI Serdadu,"4.0",""
Harlina Harja,"4.0",""
Is Dahlia,"5.0",""
Khairul Purnama,"4.0",""
M. Rizki Alpasya,"5.0",""
Wiwin Sastiniwati,"4.0",""
Andi Prasetyo,"2.0",""
Pancasila Sila,"5.0",""
Firmansyah zaidun,"5.0",""
Bungsu Petualang,"5.0",""
Tirto Cuy,"4.0",""
Swita Jhoni,"3.0",""
Ical Wrisaba,"5.0",""
Alpha 75.0 Maria Lerista,"3.0",""
Gadis Alam,"5.0",""
Pebby Fadiltyah,"4.0",""
Rama Dian,"5.0",""
Rio Nursehan,"5.0",""


